sep=;
Question;Option A;Option B;Option C;Option D;Correct Answer
What does the Address Resolution Protocol (ARP) do in a network?;Resolves domain names to IP addresses;Allocates IP addresses to network devices;Translates IP addresses to media access control (MAC) addresses;Verifies that a host is reachable;C
In the OSI model, which layer consists of the physical media and infrastructure of networks?;Session;Presentation;Data Link;Physical;D
In binary representation, what is the result of the bitwise XOR operation between 110101 and 101010;011111;100111;0;111111;A
What is the proper sequence of the TCP three-way-handshake?;SYN-ACK, ACK, ACK;SYN, SYN-ACK, ACK;SYN-SYN, SYN-ACK, SYN;ACK, SYN-ACK, SYN;B
Which topology has built-in redundancy because of its many client connections?;Token ring;Bus;Hybrid;Mesh;D
How can Google hacking be valuable in a cybersecurity investigation?;To create fake Google search results;To extract data from Google's databases;To reveal hidden or sensitive information from Google search results;To manipulate website content in Google's index;C
What is the role of the three-way handshake in establishing a TCP connection?;To request the establishment of a connection;To acknowledge the request for connection;To complete the establishment of a connection;All of the above;D
Which best describes a vulnerability scan?;A way to find open ports;A way to diagram a network;A proxy attack;A way to automate the discovery of vulnerabilities;D
What is Tor used for?;To make it more difficult to trace a user's Internet activity;To hide the process of scanning;To automate scanning;To hide the banner on a system;A
What is the maximum number of IP addresses in an IPv6 subnet?;6 bit;32 bit;6*16 bit;8*16 bit;D
Which of the following is a characteristic of a worm?;Requires user interaction to spread;Self-replicates and spreads independently;Aargets specific individuals or organizations;A worm is an item that runs silently;B
What common tool can be used for launching an ARP poisoning attack?;Cain & Abel;Nmap;Scooter;Tcpdump;A
What technology is used to verify information as it is entered into a web application, preventing database manipulation and buffer overflows?;Input Validation;Cross-Site Scripting (XSS);Session Management;Buffer overflow;A
Which type of firewall analyzes the status of traffic?;Circuit level;Packet filtering;Stateful inspection;NIDS;C
What is the purpose of the Crossover Error Rate (CER) in evaluating biometric devices;To compare the False Rejection Rate (FRR) of different biometric devices;To compare the accuracy of similar biometric devices from different vendors or different models from the same vendor;To assess the acceptance level of biometric factors;To measure the throughput rate of biometric devices;B
What is the primary purpose of a padded cell system in relation to intrusion detection?;Attract unauthorized users;Simulate a real network for intruders;Isolate detected intruders;Send alerts to administrators;C
What is the primary goal of penetration testing?;To evaluate the robustness of security systems and identify vulnerabilities;To exploit vulnerabilities and cause damage to the system;To eliminate all vulnerabilities in the system;To simulate unauthorized attacks without actually exploiting vulnerabilities;A
What is the primary purpose of RADIUS and TACACS in a network environment?;To centralize the authentication of remote dial-up connections;To establish secure connections for voice and video conferencing;To provide security for WAN communication technologies;To support remote journaling and electronic vaulting;A
Which symmetric encryption scheme is recommended for use in SRTP?;AES in ECB mode;DES in CBC mode;RC4;AES in GCM mode;D
What is the essential requirement for the security of the Discrete Logarithm Integrated Encryption Scheme (DLIES) to be maintained?;The order q of the base point P should be at least q >= 1024;Randomly choose two primes p and q such that p*q > 2048 bits;The length of the prime number p should be at least 3000 bits;All of the above;C
Which document provides the recommendation for elliptic curve cryptography?;NIST SP 800-56C;NIST SP 800-63-3;NIST SP 800-57 Part 1;NIST SP 800-186-4;D
What is an essential requirement for the internal state of deterministic random number generators?;Protection against readout and manipulation;Constant reseeding requirement;Dependence on reliable physical resources;Regular update of entropy sources;A
Which federal government agency has responsibility for ensuring the security of government computer systems that are not used to process sensitive and/or classified information?;National Security Agency;Federal Bureau of Investigation;National Institute of Standards and Technology;Secret Service;C
What is the purpose of implementing monitoring systems?;Monitoring the configuration and configuration change of devices;Ensuring availability and functionality of systems;Recording access to information by means of system and security logging;Protection from compromising radiation;B
Which principle of cybersecurity focuses on ensuring that data is accurate and trustworthy?;Resilience;Availability;Authenticity;Integrity;D
What is the primary goal of the Transport Layer Security (TLS) protocol?;Privacy and authentication between two communicating applications;Privacy and data integrity between two communicating applications;Authentication and data integrity between two communicating applications;Privacy, authentication, and data integrity between two communicating applications;D
If you were to see the subnet mask 255.255.248.0, what CIDR notation (prefix) would you use to indicate the same thing?;/23;/22;/21;/20;C
Which of the following is NOT one of the five disaster recovery plan testing types?;Simulation;Checklist;Availability;Full Interruption;C
What would be the result of sending the string AAAAAAAAAAAAAAAAA into a variable that has been allocated space for 8 bytes?;Heap spraying;SQL injection;Buffer overflow;Slowloris attack;C
Which of the following is NOT a form of computer/network surveillance?;Keyboard monitoring;Use of network sniffers;Use of Closed-Circuit Television (CCTV);Review of audit logs;C
How would you calculate risk?;Probability / loss;Probability * mitigation factor;(Loss + mitigation factor) * (loss/probability);Probability * loss;D
What is the common share name used for interprocess communication?;C$;IPC$;ADMIN$;INTERCOM$;B
Which port is commonly used by SMB when operating over TCP without NetBIOS?;137;139;135;445;D
Which of the following is an example of a strong password?;Password123456;ME_Fgh4_al445!A;Qwerty!;123456;B
Which access control model would be found in a firewall?;Mandatory access control;Discretionary access control;Role-based access control;Rule-based access control;D
What is the preferred encryption option for sending large amounts of data?;Symmetric encryption;Asymmetric encryption;Public Key Cryptography;Diffie-Hellman scheme;A
Which of the following is an example of a hashing algorithm?;AES;RSA;MD5;3DES;C
Which RAID level is not fault tolerant?;RAID 1;RAID 0;RAID 5;RAID 6;B
How many keys exist in a public/private key pair?;0;2;1;4;B
What is the primary goal of an Information Security Governance strategy?;To minimize the impact of security incidents on the organization;To obtain senior management commitment and support;To enforce compliance with information security policies;To prioritize options to mitigate risks;B
What is the process of hiding text within an image called?;Encryption;Steganography;Spyware;Hiding;B
What attack involves inserting an unauthorized person in the communication path between two users to intercept and modify packets?;Known Plaintext Attack;Chosen Cipher-Text Attack;MITM Attack;Brute-Force Attack;C
Who is responsible for implementing the planning, budgeting, and performance of the organization's information security components?;Administrator;CISO;MGR;CEO;B
The primary responsibility of the information security steering committee is:;Information security policy development;Direction setting and performance monitoring;Information security control implementation;Provision of information security training for employees;B
According to NIST guidelines, what is a recommended practice for creating a strong password?;Implementing complex composition rules requiring a mix of character types;Setting mandatory periodic password changes for all users;Encouraging the use of longer, more memorable passphrases;Requiring the use of password hints for easier recall;C
What is the purpose of continuously improving cybersecurity guidelines and their application notes?;To categorize security measures into groups;To react to new technologies, use cases, and risks;To prevent all identified threats;To eliminate all cybersecurity risks;B
What does DDoS stand for?;Double Denial of Service;Distributed Denial of Service;Dual Denial of Services;Denial of Distributed Services;B
Which is not a common wireless network authentication mechanism?;WEP;WPA;802.1X;RC4;D
Which technique aims to identify changes in normal routines by examining patterns of a user's activity?;Vulnerability Assessment;Behavior-based IDS;Data Mining;User Profile Analysis;B
What is the primary purpose of conducting a risk analysis in cybersecurity?;To assess the risk level for the organization;To formulate the most important IT security procedures for the organization;To create a risk assessment statement;To determine the level of exposure to identified threats and identify possible safeguards or controls;D
What is the primary advantage of using UDP over TCP?;Reliability;Error recovery;Speed of data transfer;Data integrity;C
What does the CIA triad in cryptography emphasize?;Confidentiality, Integrity, Authenticity;Confidentiality, Integrity, Availability;Confidentiality, Authenticity, Nonrepudiation;Confidentiality, Availability, Nonrepudiation;B
Which nmap command is used to perform a TCP SYN scan, also known as a half-open scan, to determine which ports are open on a target system?;nmap -sP;nmap -sT;nmap -SYN;nmap -sS;D
What is the primary purpose of business continuity plans?;To recover from natural disasters;To conduct regular audits of the organization's security systems;To minimize the effects of a disruptive event on a company;To increase the cost associated with a disruptive event;C
Which DoS attack sends large amounts of ICMP Echo traffic to a broadcast IP address with a spoofed source address of a victim?;Smurf attack;SYN flood attack;Ping of Death;Botnet attack;A
Which of the following tools is commonly used for network packet analysis and troubleshooting?;Wireshark;Metasploit;Nmap;Hydra;A
In the context of encrypting data for secure communication, which encryption algorithm is typically preferred for its speed and efficiency?;RSA-2048;AES-256;Both of them;None of them;B
What is the purpose of NOP sleds in buffer overflow exploits?;To encrypt the payload;To alter the content of the NOP register;To insert no-operation instructions for padding;To alter the content of the EIP register;C
Which security feature can help prevent buffer overflow attacks by marking certain memory regions as non-executable?;Data Execution Prevention (DEP);Buffer Overflow Prevention (BOP);Intrusion Detection System (IDS);Address Space Layout Randomization (ASLR);A
